time_utc,tag,leg,symbol,type,side,qty,price,notional,fee
2026-04-29T22:00Z,residual:META-2026-04-29,company,METAUSDT,entry,buy,1.979477,631.8158,1250.66,0.7504
2026-04-30T09:00Z,residual:META-2026-04-29,company,METAUSDT,exit,sell,1.979477,616.6719,1220.69,0.7324
2026-04-29T22:00Z,residual:META-2026-04-29,hedge,QQQUSDT,entry,sell,1.765571,660.3546,1165.90,0.6995
2026-04-30T09:00Z,residual:META-2026-04-29,hedge,QQQUSDT,exit,buy,1.765571,662.8560,1170.32,0.7022
2026-05-05T22:00Z,residual:AMD-2026-05-05,company,AMDUSDT,entry,buy,6.331999,395.2910,2502.98,1.5018
2026-05-06T22:00Z,residual:AMD-2026-05-05,company,AMDUSDT,exit,sell,6.331999,412.3974,2611.30,1.5668
2026-05-05T22:00Z,residual:AMD-2026-05-05,hedge,QQQUSDT,entry,sell,8.428249,684.0545,5765.38,3.4592
2026-05-06T22:00Z,residual:AMD-2026-05-05,hedge,QQQUSDT,exit,buy,8.428249,694.3892,5852.49,3.5115
2026-06-03T22:00Z,residual:AVGO-2026-06-03,company,AVGOUSDT,entry,sell,2.968980,420.5830,1248.70,0.7492
2026-06-04T22:00Z,residual:AVGO-2026-06-03,company,AVGOUSDT,exit,buy,2.968980,418.6241,1242.89,0.7457
2026-06-03T22:00Z,residual:AVGO-2026-06-03,hedge,QQQUSDT,entry,buy,2.853022,740.3588,2112.26,1.2674
2026-06-04T22:00Z,residual:AVGO-2026-06-03,hedge,QQQUSDT,exit,sell,2.853022,738.3318,2106.48,1.2639
2026-07-23T22:00Z,residual:INTC-2026-07-23,company,INTCUSDT,entry,buy,11.803588,106.0536,1251.81,0.7511
2026-07-24T14:00Z,residual:INTC-2026-07-23,company,INTCUSDT,exit,sell,11.803588,96.4099,1137.98,0.6828
2026-07-23T22:00Z,residual:INTC-2026-07-23,hedge,SMHUSDT,entry,sell,2.790895,583.2424,1627.77,0.9767
2026-07-24T14:00Z,residual:INTC-2026-07-23,hedge,SMHUSDT,exit,buy,2.790895,565.9173,1579.42,0.9476
2026-07-30T22:00Z,residual:AMZN-2026-07-30,company,AMZNUSDT,entry,buy,4.859653,257.3444,1250.60,0.7504
2026-07-31T22:00Z,residual:AMZN-2026-07-30,company,AMZNUSDT,exit,sell,4.859653,270.2393,1313.27,0.7880
2026-07-30T22:00Z,residual:AMZN-2026-07-30,hedge,QQQUSDT,entry,sell,1.376888,686.7383,945.56,0.5673
2026-07-31T22:00Z,residual:AMZN-2026-07-30,hedge,QQQUSDT,exit,buy,1.376888,685.9710,944.51,0.5667
2026-08-03T22:00Z,residual:PLTR-2026-08-03,company,PLTRUSDT,entry,buy,17.783468,140.7070,2502.26,1.5014
2026-08-04T22:00Z,residual:PLTR-2026-08-03,company,PLTRUSDT,exit,sell,17.783468,160.2051,2849.00,1.7094
2026-08-03T22:00Z,residual:PLTR-2026-08-03,hedge,QQQUSDT,entry,sell,3.027014,701.0025,2121.94,1.2732
2026-08-04T22:00Z,residual:PLTR-2026-08-03,hedge,QQQUSDT,exit,buy,3.027014,722.3278,2186.50,1.3119
2026-08-26T22:00Z,residual:CRWD-2026-08-26,company,CRWDUSDT,entry,buy,2.597511,209.9355,545.31,0.3272
2026-08-27T09:00Z,residual:CRWD-2026-08-26,company,CRWDUSDT,exit,sell,2.597511,204.8493,532.10,0.3193
2026-08-26T22:00Z,residual:CRWD-2026-08-26,hedge,QQQUSDT,entry,sell,0.883783,717.1537,633.81,0.3803
2026-08-27T09:00Z,residual:CRWD-2026-08-26,hedge,QQQUSDT,exit,buy,0.883783,720.5775,636.83,0.3821
2026-08-26T22:00Z,residual:NVDA-2026-08-26,company,NVDAUSDT,entry,buy,11.417611,219.0811,2501.38,1.5008
2026-08-27T22:00Z,residual:NVDA-2026-08-26,company,NVDAUSDT,exit,sell,11.417611,225.9750,2580.09,1.5481
2026-08-26T22:00Z,residual:NVDA-2026-08-26,hedge,SMHUSDT,entry,sell,2.308891,568.4676,1312.53,0.7875
2026-08-27T22:00Z,residual:NVDA-2026-08-26,hedge,SMHUSDT,exit,buy,2.308891,571.5840,1319.73,0.7918
