time_utc,tag,leg,symbol,type,side,qty,price,notional,fee
2025-11-19T23:00Z,residual:NVDA-2025-11-19,company,NVDAUSDT,entry,buy,12.851488,194.6642,2501.72,1.5010
2025-11-20T16:00Z,residual:NVDA-2025-11-19,company,NVDAUSDT,exit,sell,12.851488,192.3472,2471.95,1.4832
2025-11-19T23:00Z,residual:NVDA-2025-11-19,hedge,QQQUSDT,entry,sell,6.196468,605.1489,3749.79,2.2499
2025-11-20T16:00Z,residual:NVDA-2025-11-19,hedge,QQQUSDT,exit,buy,6.196468,612.3944,3794.68,2.2768
2026-01-28T23:00Z,residual:META-2026-01-28,company,METAUSDT,entry,buy,1.718756,727.5851,1250.54,0.7503
2026-01-29T23:00Z,residual:META-2026-01-28,company,METAUSDT,exit,sell,1.718756,734.1718,1261.86,0.7571
2026-01-28T23:00Z,residual:META-2026-01-28,hedge,QQQUSDT,entry,sell,1.795505,637.6476,1144.90,0.6869
2026-01-29T23:00Z,residual:META-2026-01-28,hedge,QQQUSDT,exit,buy,1.795505,630.5899,1132.23,0.6793
2026-02-02T23:00Z,residual:PLTR-2026-02-02,company,PLTRUSDT,entry,buy,16.096839,155.4417,2502.12,1.5013
2026-02-03T23:00Z,residual:PLTR-2026-02-02,company,PLTRUSDT,exit,sell,16.096839,156.0576,2512.03,1.5072
2026-02-02T23:00Z,residual:PLTR-2026-02-02,hedge,QQQUSDT,entry,sell,7.528979,626.7542,4718.82,2.8313
2026-02-03T23:00Z,residual:PLTR-2026-02-02,hedge,QQQUSDT,exit,buy,7.528979,615.9413,4637.41,2.7824
2026-02-05T23:00Z,residual:AMZN-2026-02-05,company,AMZNUSDT,entry,sell,12.438430,200.8717,2498.53,1.4991
2026-02-06T23:00Z,residual:AMZN-2026-02-05,company,AMZNUSDT,exit,buy,12.438430,209.8134,2609.75,1.5658
2026-02-05T23:00Z,residual:AMZN-2026-02-05,hedge,QQQUSDT,entry,buy,4.293032,592.7059,2544.51,1.5267
2026-02-06T23:00Z,residual:AMZN-2026-02-05,hedge,QQQUSDT,exit,sell,4.293032,608.8363,2613.75,1.5683
2026-03-05T23:00Z,residual:MRVL-2026-03-05,company,MRVLUSDT,entry,buy,9.333716,87.1567,813.50,0.4881
2026-03-06T11:00Z,residual:MRVL-2026-03-05,company,MRVLUSDT,exit,sell,9.333716,84.0269,784.28,0.4706
2026-03-05T23:00Z,residual:MRVL-2026-03-05,hedge,QQQUSDT,entry,sell,1.979197,607.8532,1203.06,0.7218
2026-03-06T11:00Z,residual:MRVL-2026-03-05,hedge,QQQUSDT,exit,buy,1.979197,606.7160,1200.81,0.7205
2026-03-18T22:00Z,residual:MU-2026-03-18,company,MUUSDT,entry,sell,2.825370,442.0191,1248.87,0.7493
2026-03-19T15:00Z,residual:MU-2026-03-18,company,MUUSDT,exit,buy,2.825370,450.7581,1273.56,0.7641
2026-03-18T22:00Z,residual:MU-2026-03-18,hedge,QQQUSDT,entry,buy,4.322371,594.7892,2570.90,1.5425
2026-03-19T15:00Z,residual:MU-2026-03-18,hedge,QQQUSDT,exit,sell,4.322371,591.3720,2556.13,1.5337
2026-04-23T22:00Z,residual:INTC-2026-04-23,company,INTCUSDT,entry,buy,31.164298,80.2971,2502.40,1.5014
2026-04-24T22:00Z,residual:INTC-2026-04-23,company,INTCUSDT,exit,sell,31.164298,82.4507,2569.52,1.5417
2026-04-23T22:00Z,residual:INTC-2026-04-23,hedge,QQQUSDT,entry,sell,5.435466,652.6486,3547.45,2.1285
2026-04-24T22:00Z,residual:INTC-2026-04-23,hedge,QQQUSDT,exit,buy,5.435466,663.3153,3605.43,2.1633
